ID,text
1,I love this product!
2,The food was absolutely amazing.
3,I’m so happy with my experience.
4,Great customer service and fast delivery.
5,"Everything was perfect, thank you!"
6,"The event was okay, nothing special."
7,It works as expected.
8,"Not bad, just average overall."
9,"It's fine, but I’ve seen better."
10,Delivery was on time.
11,I hate this app.
12,"Terrible experience, never again."
13,Worst purchase I’ve ever made.
14,Very disappointed with the service.
15,It kept crashing and wasting my time.
16,Absolutely thrilled with the outcome!
17,Service was mediocre.
18,The quality exceeded my expectations.
19,The staff was rude and unhelpful.
20,I’ll recommend this to everyone!
